date,hour,sym,rule,n
2025-03-13,12,EURJPY,wide,24
2025-03-13,12,EURUSD,wide,10
2025-03-13,12,GBPUSD,wide,6
2025-03-13,12,USDJPY,wide,15
2025-03-14,7,EURGBP,wide,21
2025-03-14,7,GBPUSD,wide,12
2025-03-14,14,USDJPY,wide,1
2025-03-17,12,EURGBP,wide,32
2025-03-17,12,EURJPY,wide,11
2025-03-17,12,EURUSD,wide,2
2025-03-17,12,GBPUSD,wide,3
2025-03-17,12,USDJPY,wide,11
2025-03-20,11,GBPUSD,wide,1
2025-03-20,12,EURGBP,wide,4
2025-03-20,12,GBPUSD,wide,4
2025-03-24,8,EURGBP,wide,1
2025-03-24,8,EURUSD,wide,2
2025-03-26,7,EURGBP,wide,1
2025-03-26,7,GBPUSD,wide,2
2025-03-27,12,EURJPY,wide,2
2025-03-28,7,EURGBP,wide,1
2025-03-28,7,GBPUSD,wide,2
2025-03-28,12,EURJPY,wide,30
2025-04-01,14,EURGBP,wide,3
2025-04-01,14,EURUSD,wide,1
2025-04-02,12,EURGBP,wide,2
2025-04-02,12,EURJPY,wide,2
2025-04-02,12,EURUSD,wide,1
2025-04-03,10,EURJPY,wide,2
2025-04-03,10,EURUSD,wide,2
2025-04-03,12,EURGBP,wide,6
2025-04-03,12,EURJPY,wide,39
2025-04-03,12,EURUSD,wide,10
2025-04-03,13,EURGBP,wide,4
2025-04-03,13,EURJPY,wide,4
2025-04-03,13,EURUSD,wide,3
2025-04-03,13,USDJPY,wide,2
2025-04-03,14,EURGBP,wide,24
2025-04-03,14,EURJPY,wide,16
2025-04-03,14,EURUSD,wide,8
2025-04-03,14,GBPUSD,wide,1
2025-04-03,14,USDJPY,wide,2
2025-04-04,12,EURGBP,wide,54
2025-04-04,12,EURJPY,wide,24
2025-04-04,12,EURUSD,wide,30
2025-04-04,12,GBPUSD,wide,40
2025-04-04,12,USDJPY,wide,32
2025-04-04,16,EURGBP,gap,1
2025-04-04,16,EURJPY,gap,1
2025-04-04,16,GBPUSD,gap,1
2025-04-04,16,USDJPY,gap,1
2025-04-07,12,USDJPY,wide,7
2025-04-07,14,EURGBP,wide,2
2025-04-07,14,EURJPY,wide,2
2025-04-07,14,GBPUSD,wide,1
2025-04-07,14,USDJPY,wide,3
2025-04-07,15,EURJPY,wide,1
2025-04-07,15,GBPUSD,wide,1
2025-04-07,15,USDJPY,wide,26
2025-04-09,10,USDJPY,wide,1
2025-04-10,12,EURGBP,wide,80
2025-04-10,12,EURJPY,wide,77
2025-04-10,12,EURUSD,wide,16
2025-04-10,12,GBPUSD,wide,30
2025-04-10,12,USDJPY,wide,16
2025-04-11,8,EURJPY,wide,1
2025-04-11,12,EURGBP,wide,18
2025-04-11,12,EURJPY,wide,27
2025-04-11,12,EURUSD,wide,42
2025-04-11,12,GBPUSD,wide,84
2025-04-11,12,USDJPY,wide,15
2025-04-11,13,EURGBP,wide,1
2025-04-11,13,USDJPY,wide,1
2025-04-11,14,EURGBP,wide,34
2025-04-11,14,EURJPY,wide,2
2025-04-11,14,EURUSD,wide,5
2025-04-11,14,GBPUSD,wide,6
2025-04-11,14,USDJPY,wide,20
2025-04-16,12,EURGBP,wide,8
2025-04-16,14,EURGBP,gap,1
2025-04-16,14,EURJPY,gap,1
2025-04-16,14,EURUSD,gap,1
2025-04-16,14,GBPUSD,gap,1
2025-04-16,14,USDJPY,gap,1
2025-04-17,12,EURGBP,wide,14
2025-04-17,12,EURJPY,wide,1
2025-04-17,12,EURUSD,wide,5
2025-04-18,7,EURGBP,wide,1056
2025-04-18,7,EURJPY,wide,643
2025-04-18,7,EURUSD,wide,170
2025-04-18,7,GBPUSD,wide,76
2025-04-18,7,USDJPY,gap,1
2025-04-18,8,GBPUSD,wide,32
2025-04-18,13,EURGBP,wide,90
2025-04-18,13,EURJPY,wide,23
2025-04-18,13,EURUSD,wide,116
2025-04-18,13,USDJPY,gap,1
2025-04-18,13,USDJPY,wide,1
2025-04-23,7,EURGBP,wide,5
2025-04-23,7,EURUSD,wide,1
2025-04-23,13,EURGBP,wide,2
2025-04-23,13,EURUSD,wide,1
2025-04-24,12,EURGBP,wide,2
2025-04-24,12,EURJPY,wide,7
2025-04-29,13,EURGBP,wide,1
2025-04-29,13,EURUSD,wide,2
2025-04-29,14,EURGBP,wide,18
2025-04-29,14,EURJPY,wide,2
2025-04-29,14,EURUSD,wide,4
2025-04-29,14,GBPUSD,wide,1
2025-04-29,14,USDJPY,wide,3
2025-04-30,12,EURGBP,wide,28
2025-04-30,12,EURJPY,wide,20
2025-04-30,12,EURUSD,wide,11
2025-04-30,12,GBPUSD,wide,3
2025-04-30,12,USDJPY,wide,3
2025-05-01,12,EURGBP,wide,1
2025-05-01,12,EURJPY,wide,9
2025-05-01,12,USDJPY,wide,8
2025-05-01,14,EURJPY,wide,14
2025-05-01,14,EURUSD,wide,4
2025-05-01,14,USDJPY,wide,9
2025-05-02,12,EURGBP,wide,49
2025-05-02,12,EURJPY,wide,80
2025-05-02,12,EURUSD,wide,31
2025-05-02,12,GBPUSD,wide,6
2025-05-02,12,USDJPY,wide,23
2025-05-05,14,EURUSD,wide,6
2025-05-05,14,USDJPY,wide,17
2025-05-13,12,EURGBP,wide,13
2025-05-13,12,EURJPY,wide,8
2025-05-13,12,EURUSD,wide,7
2025-05-13,12,GBPUSD,wide,9
2025-05-13,12,USDJPY,wide,5
2025-05-15,12,EURGBP,wide,6
2025-05-15,12,EURUSD,wide,2
2025-05-22,7,EURUSD,wide,1
2025-05-22,13,USDJPY,wide,2
2025-05-26,16,GBPUSD,gap,1
2025-05-29,12,EURJPY,wide,12
2025-05-29,12,USDJPY,wide,8
2025-05-30,12,EURGBP,wide,21
2025-06-02,14,EURGBP,wide,13
2025-06-03,14,EURGBP,wide,14
2025-06-03,14,EURJPY,wide,9
2025-06-03,14,EURUSD,wide,3
2025-06-03,14,USDJPY,wide,3
2025-06-04,14,EURJPY,wide,22
2025-06-04,14,EURUSD,wide,1
2025-06-04,14,GBPUSD,wide,14
2025-06-04,14,USDJPY,wide,17
2025-06-05,12,EURGBP,wide,12
2025-06-05,12,EURUSD,wide,11
2025-06-06,12,EURGBP,wide,53
2025-06-06,12,EURJPY,wide,43
2025-06-06,12,EURUSD,wide,17
2025-06-06,12,GBPUSD,wide,10
2025-06-06,12,USDJPY,wide,27
2025-06-09,7,EURUSD,gap,1
2025-06-09,16,EURJPY,gap,1
2025-06-10,16,EURGBP,gap,1
2025-06-11,12,EURGBP,wide,18
2025-06-11,12,EURJPY,wide,7
2025-06-11,12,EURUSD,wide,12
2025-06-11,12,GBPUSD,wide,2
2025-06-11,12,USDJPY,wide,14
2025-06-12,12,EURGBP,wide,19
2025-06-12,12,EURJPY,wide,15
2025-06-12,12,EURUSD,wide,11
2025-06-12,12,USDJPY,wide,10
2025-06-13,16,GBPUSD,gap,1
2025-06-17,12,EURGBP,wide,2
2025-06-17,12,EURJPY,wide,12
2025-06-17,12,USDJPY,wide,3
2025-06-19,11,GBPUSD,wide,2
2025-06-19,16,EURGBP,gap,1
2025-06-23,7,EURUSD,wide,1
2025-06-27,12,EURUSD,wide,1
2025-07-01,8,EURUSD,wide,1
2025-07-01,13,EURGBP,wide,2
2025-07-01,13,EURJPY,wide,3
2025-07-01,13,EURUSD,wide,1
2025-07-01,13,USDJPY,wide,4
2025-07-01,14,EURGBP,wide,2
2025-07-01,14,EURJPY,wide,10
2025-07-01,14,EURUSD,wide,2
2025-07-01,14,GBPUSD,wide,1
2025-07-01,14,USDJPY,wide,15
2025-07-02,12,EURGBP,wide,10
2025-07-02,12,EURJPY,wide,1
2025-07-03,12,EURGBP,wide,1
2025-07-03,12,EURJPY,wide,10
2025-07-03,12,EURUSD,wide,5
2025-07-03,12,USDJPY,jump,1
2025-07-03,12,USDJPY,wide,52
2025-07-03,14,EURUSD,wide,6
2025-07-04,13,EURUSD,gap,1
2025-07-04,15,EURUSD,gap,1
2025-07-04,16,EURJPY,gap,2
2025-07-04,16,GBPUSD,gap,1
2025-07-10,12,USDJPY,wide,1
2025-07-15,12,EURGBP,wide,6
2025-07-15,12,EURJPY,wide,6
2025-07-15,12,EURUSD,wide,5
2025-07-15,12,GBPUSD,wide,1
2025-07-15,12,USDJPY,wide,4
2025-07-16,12,EURGBP,wide,1
2025-07-16,12,GBPUSD,wide,3
2025-07-16,15,EURJPY,wide,6
2025-07-16,15,EURUSD,wide,11
2025-07-16,15,GBPUSD,wide,2
2025-07-16,15,USDJPY,wide,7
2025-07-17,11,EURUSD,gap,1
2025-07-17,12,EURJPY,wide,13
2025-07-17,12,EURUSD,wide,3
2025-07-17,12,GBPUSD,wide,15
2025-07-22,10,EURUSD,gap,1
2025-07-22,10,GBPUSD,gap,2
2025-07-24,12,USDJPY,wide,4
2025-07-24,13,EURUSD,wide,2
2025-07-30,12,EURGBP,wide,3
2025-07-30,12,EURJPY,wide,9
2025-07-31,12,EURUSD,wide,9
2025-08-01,12,EURGBP,wide,29
2025-08-01,12,EURJPY,wide,30
2025-08-01,12,EURUSD,wide,80
2025-08-01,12,GBPUSD,wide,10
2025-08-01,12,USDJPY,wide,26
2025-08-01,13,EURGBP,wide,1
2025-08-01,13,EURJPY,wide,5
2025-08-01,14,EURGBP,wide,2
2025-08-01,14,EURJPY,wide,22
2025-08-01,14,USDJPY,wide,16
2025-08-05,13,GBPUSD,wide,4
2025-08-05,14,EURGBP,wide,4
2025-08-05,14,EURJPY,wide,15
2025-08-05,14,EURUSD,wide,12
2025-08-05,14,GBPUSD,wide,18
2025-08-05,14,USDJPY,wide,5
2025-08-07,11,EURGBP,wide,2
2025-08-07,11,GBPUSD,wide,3
2025-08-07,12,EURJPY,wide,2
2025-08-07,12,USDJPY,wide,5
2025-08-12,12,EURGBP,wide,6
2025-08-12,12,EURJPY,wide,20
2025-08-12,12,EURUSD,wide,13
2025-08-12,12,GBPUSD,wide,6
2025-08-12,12,USDJPY,wide,9
2025-08-14,12,EURGBP,wide,11
2025-08-14,12,EURJPY,wide,17
2025-08-14,12,EURUSD,wide,11
2025-08-14,12,GBPUSD,wide,4
2025-08-14,12,USDJPY,wide,10
2025-08-15,12,EURGBP,wide,1
2025-08-15,12,EURJPY,wide,1
2025-08-15,12,EURUSD,wide,16
2025-08-21,12,EURJPY,wide,26
2025-08-21,12,EURUSD,wide,3
2025-08-21,13,EURJPY,wide,1
2025-08-21,13,USDJPY,wide,1
2025-08-22,14,EURUSD,wide,14
2025-08-22,14,GBPUSD,wide,13
2025-08-27,10,EURGBP,gap,1
