half,th,l,h,n,s,s2,mean_bp
H2,0.5,10,10,18404,-17029.34543671227,22571.390213790088,-0.9253067505277259
H2,0.5,10,50,13571,-12112.453425397625,18837.007180432473,-0.892524753179399
H2,0.5,10,300,8477,-7375.711795136676,19789.43685889127,-0.8700851474739503
H2,0.75,0,10,13723,-11312.83175475317,15801.13300932123,-0.8243701635759797
H2,0.75,0,50,7836,-5903.783478454814,10842.462659816698,-0.7534180038865256
H2,0.75,0,300,3186,-2133.1032082985657,10190.144326812204,-0.6695239197421738
H2,0.75,1,10,13389,-11850.148722706075,16256.836552487948,-0.885066003637768
H2,0.75,1,50,7769,-6459.02492436298,11143.455368508201,-0.8313843383141948
H2,0.75,1,300,3175,-2506.4001319438503,10487.36702128029,-0.7894173643917639
H2,0.75,5,10,12230,-10949.495861896043,14469.208132160129,-0.8952981080863486
H2,0.75,5,50,7517,-6529.777968618917,11068.287623729504,-0.868668081497794
H2,0.75,5,300,3149,-2600.003198761881,9867.205837153597,-0.8256599551482632
H2,0.75,10,10,11206,-9971.391984932596,13157.2259464551,-0.8898261632101192
H2,0.75,10,50,7224,-6300.262575488804,10603.12633752445,-0.87212937091484
H2,0.75,10,300,3116,-2599.554214183394,9941.69861074823,-0.8342600173887657
H2,1.0,0,10,1829,-1960.6569642072936,5725.204100774193,-1.071983031277908
H2,1.0,0,50,1217,-1030.482424358595,5038.638301203174,-0.8467398721105956
H2,1.0,0,300,778,-452.76801232021336,6338.945136550284,-0.5819640261185262
H2,1.0,1,10,1791,-2275.0778936366173,6088.772653095255,-1.2702835810366373
H2,1.0,1,50,1210,-1265.706260468596,5046.751875535816,-1.046038231792228
H2,1.0,1,300,778,-644.852835563078,6447.052811294191,-0.8288596858137249
H2,1.0,5,10,1662,-2209.194547365355,5547.1825157736985,-1.3292385964893834
H2,1.0,5,50,1192,-1365.338385079644,4839.982976154914,-1.145418108288292
H2,1.0,5,300,774,-716.8738735172166,6131.002990516584,-0.9261936350351635
H2,1.0,10,10,1543,-1983.4814548621634,4753.719812574088,-1.2854708067804042
H2,1.0,10,50,1164,-1371.2410320035365,4486.022840434648,-1.1780421237143783
H2,1.0,10,300,773,-711.3312027225966,5952.245449609792,-0.9202214782957265
H2,1.5,0,10,311,-514.6410826837239,2442.148911976361,-1.6547944780827135
H2,1.5,0,50,205,-226.1595786771566,2203.8132838692986,-1.1032174569617395
H2,1.5,0,300,141,-119.4359933595668,4062.416545204439,-0.847063782691963
H2,1.5,1,10,301,-604.0481921152972,2557.233031896479,-2.006804624967765
H2,1.5,1,50,202,-300.7605861344036,2357.288507272475,-1.4889137927445721
H2,1.5,1,300,141,-196.58862192418255,3907.53078000275,-1.3942455455615783
H2,1.5,5,10,278,-603.4383512659341,2139.061435921689,-2.1706415513163098
H2,1.5,5,50,201,-375.94095974450676,2476.312130887173,-1.87035303355476
H2,1.5,5,300,141,-251.65669563336303,3957.028085089372,-1.7847992598110853
H2,1.5,10,10,262,-557.4080361004002,2096.136445342499,-2.127511588169466
H2,1.5,10,50,198,-377.3143766317553,2191.0843470555083,-1.905628164806845
H2,1.5,10,300,141,-254.35084119347948,3510.513528650928,-1.8039066751310602
